iter	Passed	Remaining
675	1576	755
676	1579	753
677	1581	750
678	1583	748
679	1585	746
680	1588	744
681	1590	741
682	1593	739
683	1595	736
684	1597	734
685	1599	732
686	1602	729
687	1604	727
688	1606	725
689	1609	722
690	1611	720
691	1613	718
692	1616	715
693	1618	713
694	1620	711
695	1623	708
696	1625	706
697	1627	704
698	1630	701
699	1632	699
700	1634	697
701	1636	694
702	1638	692
703	1640	689
704	1643	687
705	1645	685
706	1647	682
707	1650	680
708	1652	678
709	1654	675
710	1657	673
711	1659	671
712	1661	668
713	1663	666
714	1665	663
715	1667	661
716	1670	659
717	1672	656
718	1674	654
719	1677	652
720	1679	649
721	1681	647
722	1683	645
723	1686	642
724	1688	640
725	1690	638
726	1693	635
727	1695	633
728	1697	631
729	1700	628
730	1702	626
731	1704	624
732	1707	621
733	1709	619
734	1712	617
735	1714	614
736	1717	612
737	1719	610
738	1722	608
739	1723	605
740	1726	603
741	1728	601
742	1730	598
743	1732	596
744	1735	593
745	1737	591
746	1740	589
747	1742	587
748	1745	584
749	1747	582
750	1750	580
751	1752	577
752	1754	575
753	1757	573
754	1759	570
755	1761	568
756	1763	566
757	1765	563
758	1767	561
759	1770	558
760	1772	556
761	1775	554
762	1777	552
763	1780	549
764	1782	547
765	1784	545
766	1787	542
767	1789	540
768	1791	538
769	1793	535
770	1796	533
771	1798	531
772	1801	528
773	1803	526
774	1806	524
775	1808	522
776	1810	519
777	1813	517
778	1815	515
779	1817	512
780	1820	510
781	1822	508
782	1824	505
783	1827	503
784	1829	501
785	1831	498
786	1834	496
787	1836	493
788	1838	491
789	1840	489
790	1843	487
791	1845	484
792	1848	482
793	1850	480
794	1853	477
795	1855	475
796	1857	473
797	1860	470
798	1862	468
799	1865	466
800	1867	463
801	1869	461
802	1872	459
803	1874	456
804	1876	454
805	1879	452
806	1881	449
807	1883	447
808	1885	445
809	1888	443
810	1890	440
811	1893	438
812	1895	436
813	1897	433
814	1900	431
815	1902	428
816	1904	426
817	1907	424
818	1909	421
819	1911	419
820	1913	417
821	1916	414
822	1918	412
823	1921	410
824	1923	407
825	1925	405
826	1927	403
827	1930	401
828	1932	398
829	1936	396
830	1938	394
831	1941	391
832	1943	389
833	1946	387
834	1948	384
835	1950	382
836	1952	380
837	1955	377
838	1958	375
839	1960	373
840	1963	371
841	1966	368
842	1968	366
843	1971	364
844	1973	361
845	1975	359
846	1977	357
847	1980	354
848	1982	352
849	1984	350
850	1987	347
851	1989	345
852	1992	343
853	1994	340
854	1996	338
855	1999	336
856	2001	333
857	2003	331
858	2006	329
859	2009	327
860	2011	324
861	2014	322
862	2016	320
863	2019	317
864	2021	315
865	2023	313
866	2025	310
867	2027	308
868	2030	306
869	2032	303
870	2034	301
871	2037	299
872	2039	296
873	2041	294
874	2044	292
875	2046	289
876	2048	287
877	2050	284
878	2053	282
879	2055	280
880	2057	277
881	2060	275
882	2062	273
883	2065	270
884	2067	268
885	2069	266
886	2072	263
887	2074	261
888	2076	259
889	2079	256
890	2081	254
891	2083	252
892	2086	249
893	2088	247
894	2090	245
895	2093	243
896	2096	240
897	2098	238
898	2100	236
899	2103	233
900	2105	231
901	2107	228
902	2109	226
903	2112	224
904	2114	221
905	2116	219
906	2118	217
907	2121	214
908	2123	212
909	2125	210
910	2127	207
911	2130	205
912	2132	203
913	2134	200
914	2136	198
915	2139	196
916	2141	193
917	2144	191
918	2146	189
919	2148	186
920	2150	184
921	2153	182
922	2155	179
923	2157	177
924	2160	175
925	2162	172
926	2164	170
927	2167	168
928	2169	165
929	2171	163
930	2174	161
931	2176	158
932	2178	156
933	2181	154
934	2183	151
935	2185	149
936	2188	147
937	2190	144
938	2192	142
939	2195	140
940	2197	137
941	2199	135
942	2202	133
943	2204	130
944	2207	128
945	2209	126
946	2212	123
947	2214	121
948	2217	119
949	2219	116
950	2222	114
951	2224	112
952	2226	109
953	2230	107
954	2232	105
955	2235	102
956	2237	100
957	2240	98
958	2242	95
959	2244	93
960	2247	91
961	2249	88
962	2251	86
963	2254	84
964	2256	81
965	2258	79
966	2261	77
967	2263	74
968	2265	72
969	2268	70
970	2270	67
971	2272	65
972	2274	63
973	2277	60
974	2279	58
975	2281	56
976	2283	53
977	2286	51
978	2288	49
979	2290	46
980	2293	44
981	2296	42
982	2298	39
983	2300	37
984	2303	35
985	2305	32
986	2307	30
987	2309	28
988	2312	25
989	2314	23
990	2316	21
991	2318	18
992	2321	16
993	2323	14
994	2325	11
995	2328	9
996	2330	7
997	2333	4
998	2336	2
999	2338	0
